OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,MonitoringLocationIdentifier,ResultIdentifier,DataLoggerLine,ResultDetectionConditionText,MethodSpecificationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,DataQuality/BiasValue,ConfidenceIntervalValue,UpperConfidenceLimitValue,LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,ResultSamplingPointName,BiologicalIntentName,BiologicalIndividualIdentifier,SubjectTaxonomicName,UnidentifiedSpeciesIdentifier,SampleTissueAnatomyName,GroupSummaryCountWeight/MeasureValue,GroupSummaryCountWeight/MeasureUnitCode,CellFormName,CellShapeName,HabitName,VoltismName,TaxonomicPollutionTolerance,TaxonomicPollutionToleranceScaleText,TrophicLevelName,FunctionalFeedingGroupName,TaxonomicDetailsCitation/ResourceTitleName,TaxonomicDetailsCitation/ResourceCreatorName,TaxonomicDetailsCitation/ResourceSubjectText,TaxonomicDetailsCitation/ResourcePublisherName,TaxonomicDetailsCitation/ResourceDate,TaxonomicDetailsCitation/ResourceIdentifier,FrequencyClassInformationUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodQualifierTypeName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,AnalysisStartTime/Time,AnalysisStartTime/TimeZoneCode,AnalysisEndDate,AnalysisEndTime/Time,AnalysisEndTime/TimeZoneCode,ResultLaboratoryCommentCode,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,LaboratoryAccreditationIndicator,LaboratoryAccreditationAuthorityName,TaxonomistAccreditationIndicator,TaxonomistAccreditationAuthorityName,LabSamplePreparationUrl,ProviderName
CEDEN,California State Water Resources Control Board,CEDEN--2145626319,2011-11-14,12:50:00,PST,CEDEN-KR19019_KHSA,STORET-725521586,,,as P,Phosphorus,Total,0.15,mg/l,,Final,,Actual,,,,,,,,,,1,,12,m,,,,,,,,,,,,,,,,,,,,,,,,,181,CEDEN,EPA 365.4,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145626319,2011-11-14,12:50:00,PST,CEDEN-KR19019_KHSA,STORET-725521588,,,,Nitrogen,Total,0.99,mg/l,,Final,,Actual,,,,,,,,,,1,,12,m,,,,,,,,,,,,,,,,,,,,,,,,,4056,CEDEN,SM 4500-N C,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145633017,2011-11-14,12:30:00,PST,CEDEN-KR19019_KHSA,STORET-725517536,,,,Nitrogen,Total,0.83,mg/l,,Final,,Actual,,,,,,,,,,1,,0.5,m,,,,,,,,,,,,,,,,,,,,,,,,,4056,CEDEN,SM 4500-N C,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145633017,2011-11-14,12:30:00,PST,CEDEN-KR19019_KHSA,STORET-725517538,,,as P,Phosphorus,Total,0.12,mg/l,,Final,,Actual,,,,,,,,,,1,,0.5,m,,,,,,,,,,,,,,,,,,,,,,,,,181,CEDEN,EPA 365.4,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145630238,2011-12-27,13:25:00,PST,CEDEN-KR19019_KHSA,STORET-725320097,,,,Nitrogen,Total,1.28,mg/l,,Final,,Actual,,,,,,,,,,1,,12,m,,,,,,,,,,,,,,,,,,,,,,,,,4056,CEDEN,SM 4500-N C,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145630238,2011-12-27,13:25:00,PST,CEDEN-KR19019_KHSA,STORET-725320098,,,,Organic carbon,Dissolved,4.56,mg/l,,Final,,Actual,,,,,,,,,,1,,12,m,,,,,,,,,,,,,,,,,,,,,,,,,126,CEDEN,SM 5310 C,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145630238,2011-12-27,13:25:00,PST,CEDEN-KR19019_KHSA,STORET-725320103,,,as P,Phosphorus,Total,0.095,mg/l,,Final,,Actual,,,,,,,,,,1,,12,m,,,,,,,,,,,,,,,,,,,,,,,,,181,CEDEN,EPA 365.4,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145632636,2011-12-27,13:15:00,PST,CEDEN-KR19019_KHSA,STORET-725422113,,,,Nitrogen,Total,1.2,mg/l,,Final,,Actual,,,,,,,,,,1,,40,m,,,,,,,,,,,,,,,,,,,,,,,,,4056,CEDEN,SM 4500-N C,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145632636,2011-12-27,13:15:00,PST,CEDEN-KR19019_KHSA,STORET-725422115,,,as P,Phosphorus,Total,0.098,mg/l,,Final,,Actual,,,,,,,,,,1,,40,m,,,,,,,,,,,,,,,,,,,,,,,,,181,CEDEN,EPA 365.4,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145632636,2011-12-27,13:15:00,PST,CEDEN-KR19019_KHSA,STORET-725422119,,,,Organic carbon,Dissolved,4.28,mg/l,,Final,,Actual,,,,,,,,,,1,,40,m,,,,,,,,,,,,,,,,,,,,,,,,,126,CEDEN,SM 5310 C,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145633698,2011-12-27,13:05:00,PST,CEDEN-KR19019_KHSA,STORET-725603792,,,,Nitrogen,Total,1.28,mg/l,,Final,,Actual,,,,,,,,,,1,,0.5,m,,,,,,,,,,,,,,,,,,,,,,,,,4056,CEDEN,SM 4500-N C,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145633698,2011-12-27,13:05:00,PST,CEDEN-KR19019_KHSA,STORET-725603794,,,as P,Phosphorus,Total,0.097,mg/l,,Final,,Actual,,,,,,,,,,1,,0.5,m,,,,,,,,,,,,,,,,,,,,,,,,,181,CEDEN,EPA 365.4,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145633698,2011-12-27,13:05:00,PST,CEDEN-KR19019_KHSA,STORET-725603796,,,,Organic carbon,Dissolved,4.07,mg/l,,Final,,Actual,,,,,,,,,,1,,0.5,m,,,,,,,,,,,,,,,,,,,,,,,,,126,CEDEN,SM 5310 C,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145627603,2012-02-22,14:15:00,PST,CEDEN-KR19019_KHSA,STORET-725787568,,,as P,Phosphorus,Total,0.09,mg/l,,Final,,Actual,,,,,,,,,,1,,6,m,,,,,,,,,,,,,,,,,,,,,,,,,181,CEDEN,EPA 365.4,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145627603,2012-02-22,14:15:00,PST,CEDEN-KR19019_KHSA,STORET-725787569,,,,Organic carbon,Dissolved,3.61,mg/l,,Final,,Actual,,,,,,,,,,1,,6,m,,,,,,,,,,,,,,,,,,,,,,,,,126,CEDEN,SM 5310 C,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145627603,2012-02-22,14:15:00,PST,CEDEN-KR19019_KHSA,STORET-725787570,,,,Nitrogen,Total,1.34,mg/l,,Final,,Actual,,,,,,,,,,1,,6,m,,,,,,,,,,,,,,,,,,,,,,,,,4056,CEDEN,SM 4500-N C,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145627911,2012-02-22,14:30:00,PST,CEDEN-KR19019_KHSA,STORET-725335276,,,as P,Phosphorus,Total,0.41,mg/l,,Final,,Actual,,,,,,,,,,1,,44,m,,,,,,,,,,,,,,,,,,,,,,,,,181,CEDEN,EPA 365.4,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145627911,2012-02-22,14:30:00,PST,CEDEN-KR19019_KHSA,STORET-725335277,,,,Nitrogen,Total,1.29,mg/l,,Final,,Actual,,,,,,,,,,1,,44,m,,,,,,,,,,,,,,,,,,,,,,,,,4056,CEDEN,SM 4500-N C,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145627911,2012-02-22,14:30:00,PST,CEDEN-KR19019_KHSA,STORET-725335278,,,,Organic carbon,Dissolved,3.53,mg/l,,Final,,Actual,,,,,,,,,,1,,44,m,,,,,,,,,,,,,,,,,,,,,,,,,126,CEDEN,SM 5310 C,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145633035,2012-02-22,14:00:00,PST,CEDEN-KR19019_KHSA,STORET-725570038,,,,Organic carbon,Dissolved,3.64,mg/l,,Final,,Actual,,,,,,,,,,1,,0.5,m,,,,,,,,,,,,,,,,,,,,,,,,,126,CEDEN,SM 5310 C,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145633035,2012-02-22,14:00:00,PST,CEDEN-KR19019_KHSA,STORET-725570040,,,as P,Phosphorus,Total,0.056,mg/l,,Final,,Actual,,,,,,,,,,1,,0.5,m,,,,,,,,,,,,,,,,,,,,,,,,,181,CEDEN,EPA 365.4,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145633035,2012-02-22,14:00:00,PST,CEDEN-KR19019_KHSA,STORET-725570041,,,,Nitrogen,Total,1.26,mg/l,,Final,,Actual,,,,,,,,,,1,,0.5,m,,,,,,,,,,,,,,,,,,,,,,,,,4056,CEDEN,SM 4500-N C,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145629800,2012-03-21,15:15:00,PST,CEDEN-KR19019_KHSA,STORET-725356010,,,as P,Phosphorus,Total,0.062,mg/l,,Final,,Actual,,,,,,,,,,1,,44,m,,,,,,,,,,,,,,,,,,,,,,,,,181,CEDEN,EPA 365.4,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145629800,2012-03-21,15:15:00,PST,CEDEN-KR19019_KHSA,STORET-725356011,,,,Nitrogen,Total,0.95,mg/l,,Final,,Actual,,,,,,,,,,1,,44,m,,,,,,,,,,,,,,,,,,,,,,,,,4056,CEDEN,SM 4500-N C,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145629800,2012-03-21,15:15:00,PST,CEDEN-KR19019_KHSA,STORET-725356014,,,,Organic carbon,Dissolved,3.73,mg/l,,Final,,Actual,,,,,,,,,,1,,44,m,,,,,,,,,,,,,,,,,,,,,,,,,126,CEDEN,SM 5310 C,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145630184,2012-03-21,15:30:00,PST,CEDEN-KR19019_KHSA,STORET-725345079,,,,Organic carbon,Dissolved,3.69,mg/l,,Final,,Actual,,,,,,,,,,1,,6,m,,,,,,,,,,,,,,,,,,,,,,,,,126,CEDEN,SM 5310 C,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145630184,2012-03-21,15:30:00,PST,CEDEN-KR19019_KHSA,STORET-725345081,,,,Nitrogen,Total,0.83,mg/l,,Final,,Actual,,,,,,,,,,1,,6,m,,,,,,,,,,,,,,,,,,,,,,,,,4056,CEDEN,SM 4500-N C,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145631903,2012-03-21,14:50:00,PST,CEDEN-KR19019_KHSA,STORET-725525710,,,as P,Phosphorus,Total,0.05,mg/l,,Final,,Actual,,,,,,,,,,1,,0.5,m,,,,,,,,,,,,,,,,,,,,,,,,,181,CEDEN,EPA 365.4,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145631903,2012-03-21,14:50:00,PST,CEDEN-KR19019_KHSA,STORET-725525711,,,,Organic carbon,Dissolved,4.07,mg/l,,Final,,Actual,,,,,,,,,,1,,0.5,m,,,,,,,,,,,,,,,,,,,,,,,,,126,CEDEN,SM 5310 C,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145631903,2012-03-21,14:50:00,PST,CEDEN-KR19019_KHSA,STORET-725525714,,,,Nitrogen,Total,0.83,mg/l,,Final,,Actual,,,,,,,,,,1,,0.5,m,,,,,,,,,,,,,,,,,,,,,,,,,4056,CEDEN,SM 4500-N C,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145627097,2012-04-24,13:20:00,PST,CEDEN-KR19019_KHSA,STORET-725910830,,,as P,Phosphorus,Total,0.077,mg/l,,Final,,Actual,,,,,,,,,,1,,6,m,,,,,,,,,,,,,,,,,,,,,,,,,181,CEDEN,EPA 365.4,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145627097,2012-04-24,13:20:00,PST,CEDEN-KR19019_KHSA,STORET-725910831,,,,Nitrogen,Total,0.72,mg/l,,Final,,Actual,,,,,,,,,,1,,6,m,,,,,,,,,,,,,,,,,,,,,,,,,4056,CEDEN,SM 4500-N C,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145627097,2012-04-24,13:20:00,PST,CEDEN-KR19019_KHSA,STORET-725910832,,,,Organic carbon,Dissolved,4.78,mg/l,,Final,,Actual,,,,,,,,,,1,,6,m,,,,,,,,,,,,,,,,,,,,,,,,,126,CEDEN,SM 5310 C,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145628854,2012-04-24,12:30:00,PST,CEDEN-KR19019_KHSA,STORET-725428286,,,,Nitrogen,Total,0.64,mg/l,,Final,,Actual,,,,,,,,,,1,,0.5,m,,,,,,,,,,,,,,,,,,,,,,,,,4056,CEDEN,SM 4500-N C,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145628854,2012-04-24,12:30:00,PST,CEDEN-KR19019_KHSA,STORET-725428288,,,as P,Phosphorus,Total,0.07,mg/l,,Final,,Actual,,,,,,,,,,1,,0.5,m,,,,,,,,,,,,,,,,,,,,,,,,,181,CEDEN,EPA 365.4,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145628854,2012-04-24,12:30:00,PST,CEDEN-KR19019_KHSA,STORET-725428290,,,,Organic carbon,Dissolved,5.43,mg/l,,Final,,Actual,,,,,,,,,,1,,0.5,m,,,,,,,,,,,,,,,,,,,,,,,,,126,CEDEN,SM 5310 C,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145629761,2012-04-24,12:50:00,PST,CEDEN-KR19019_KHSA,STORET-725380075,,,,Organic carbon,Dissolved,4.3,mg/l,,Final,,Actual,,,,,,,,,,1,,47,m,,,,,,,,,,,,,,,,,,,,,,,,,126,CEDEN,SM 5310 C,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145629761,2012-04-24,12:50:00,PST,CEDEN-KR19019_KHSA,STORET-725380076,,,as P,Phosphorus,Total,0.13,mg/l,,Final,,Actual,,,,,,,,,,1,,47,m,,,,,,,,,,,,,,,,,,,,,,,,,181,CEDEN,EPA 365.4,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145629761,2012-04-24,12:50:00,PST,CEDEN-KR19019_KHSA,STORET-725380079,,,,Nitrogen,Total,0.79,mg/l,,Final,,Actual,,,,,,,,,,1,,47,m,,,,,,,,,,,,,,,,,,,,,,,,,4056,CEDEN,SM 4500-N C,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145629251,2012-05-23,12:10:00,PST,CEDEN-KR19019_KHSA,STORET-725519956,,,,Organic carbon,Dissolved,4.17,mg/l,,Final,,Actual,,,,,,,,,,1,,10,m,,,,,,,,,,,,,,,,,,,,,,,,,126,CEDEN,SM 5310 C,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145629251,2012-05-23,12:10:00,PST,CEDEN-KR19019_KHSA,STORET-725519957,,,as P,Phosphorus,Total,0.1,mg/l,,Final,,Actual,,,,,,,,,,1,,10,m,,,,,,,,,,,,,,,,,,,,,,,,,181,CEDEN,EPA 365.4,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145629251,2012-05-23,12:10:00,PST,CEDEN-KR19019_KHSA,STORET-725519960,,,,Nitrogen,Total,0.46,mg/l,,Final,,Actual,,,,,,,,,,1,,10,m,,,,,,,,,,,,,,,,,,,,,,,,,4056,CEDEN,SM 4500-N C,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145632313,2012-05-23,12:30:00,PST,CEDEN-KR19019_KHSA,STORET-725961484,,,,Nitrogen,Total,0.99,mg/l,,Final,,Actual,,,,,,,,,,1,,43,m,,,,,,,,,,,,,,,,,,,,,,,,,4056,CEDEN,SM 4500-N C,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145632313,2012-05-23,12:30:00,PST,CEDEN-KR19019_KHSA,STORET-725961486,,,as P,Phosphorus,Total,0.13,mg/l,,Final,,Actual,,,,,,,,,,1,,43,m,,,,,,,,,,,,,,,,,,,,,,,,,181,CEDEN,EPA 365.4,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145632313,2012-05-23,12:30:00,PST,CEDEN-KR19019_KHSA,STORET-725961489,,,,Organic carbon,Dissolved,4.43,mg/l,,Final,,Actual,,,,,,,,,,1,,43,m,,,,,,,,,,,,,,,,,,,,,,,,,126,CEDEN,SM 5310 C,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145635558,2012-05-23,12:00:00,PST,CEDEN-KR19019_KHSA,STORET-725440263,,,as P,Phosphorus,Total,0.11,mg/l,,Final,,Actual,,,,,,,,,,1,,0.5,m,,,,,,,,,,,,,,,,,,,,,,,,,181,CEDEN,EPA 365.4,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145635558,2012-05-23,12:00:00,PST,CEDEN-KR19019_KHSA,STORET-725440264,,,,Nitrogen,Total,0.54,mg/l,,Final,,Actual,,,,,,,,,,1,,0.5,m,,,,,,,,,,,,,,,,,,,,,,,,,4056,CEDEN,SM 4500-N C,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145635558,2012-05-23,12:00:00,PST,CEDEN-KR19019_KHSA,STORET-725440266,,,,Organic carbon,Dissolved,4.79,mg/l,,Final,,Actual,,,,,,,,,,1,,0.5,m,,,,,,,,,,,,,,,,,,,,,,,,,126,CEDEN,SM 5310 C,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145624007,2012-06-30,15:35:00,PST,CEDEN-KR19019_KHSA,STORET-725668394,,,as P,Phosphorus,Total,0.096,mg/l,,Final,,Actual,,,,,,,,,,1,,14.5,m,,,,,,,,,,,,,,,,,,,,,,,,,181,CEDEN,EPA 365.4,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145624007,2012-06-30,15:35:00,PST,CEDEN-KR19019_KHSA,STORET-725668397,,,,Nitrogen,Total,0.6,mg/l,,Final,,Actual,,,,,,,,,,1,,14.5,m,,,,,,,,,,,,,,,,,,,,,,,,,4056,CEDEN,SM 4500-N C,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145624007,2012-06-30,15:35:00,PST,CEDEN-KR19019_KHSA,STORET-725668398,,,,Organic carbon,Dissolved,4.67,mg/l,,Final,,Actual,,,,,,,,,,1,,14.5,m,,,,,,,,,,,,,,,,,,,,,,,,,126,CEDEN,SM 5310 C,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145627808,2012-06-30,15:00:00,PST,CEDEN-KR19019_KHSA,STORET-725912369,,,,Organic carbon,Dissolved,5.74,mg/l,,Final,,Actual,,,,,,,,,,1,,0.5,m,,,,,,,,,,,,,,,,,,,,,,,,,126,CEDEN,SM 5310 C,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145627808,2012-06-30,15:00:00,PST,CEDEN-KR19019_KHSA,STORET-725912371,,,,Nitrogen,Total,0.38,mg/l,,Final,,Actual,,,,,,,,,,1,,0.5,m,,,,,,,,,,,,,,,,,,,,,,,,,4056,CEDEN,SM 4500-N C,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145627808,2012-06-30,15:00:00,PST,CEDEN-KR19019_KHSA,STORET-725912372,,,as P,Phosphorus,Total,0.073,mg/l,,Final,,Actual,,,,,,,,,,1,,0.5,m,,,,,,,,,,,,,,,,,,,,,,,,,181,CEDEN,EPA 365.4,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145631374,2012-06-30,15:20:00,PST,CEDEN-KR19019_KHSA,STORET-725552986,,,,Organic carbon,Dissolved,4.72,mg/l,,Final,,Actual,,,,,,,,,,1,,44,m,,,,,,,,,,,,,,,,,,,,,,,,,126,CEDEN,SM 5310 C,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145631374,2012-06-30,15:20:00,PST,CEDEN-KR19019_KHSA,STORET-725552992,,,as P,Phosphorus,Total,0.17,mg/l,,Final,,Actual,,,,,,,,,,1,,44,m,,,,,,,,,,,,,,,,,,,,,,,,,181,CEDEN,EPA 365.4,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145631374,2012-06-30,15:20:00,PST,CEDEN-KR19019_KHSA,STORET-725552993,,,,Nitrogen,Total,1.29,mg/l,,Final,,Actual,,,,,,,,,,1,,44,m,,,,,,,,,,,,,,,,,,,,,,,,,4056,CEDEN,SM 4500-N C,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145629750,2012-07-25,12:00:00,PST,CEDEN-KR19019_KHSA,STORET-725678748,,,,Organic carbon,Dissolved,4.22,mg/l,,Final,,Actual,,,,,,,,,,1,,0.5,m,,,,,,,,,,,,,,,,,,,,,,,,,126,CEDEN,SM 5310 C,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145629750,2012-07-25,12:00:00,PST,CEDEN-KR19019_KHSA,STORET-725678751,,,,Nitrogen,Total,0.28,mg/l,,Final,,Actual,,,,,,,,,,1,,0.5,m,,,,,,,,,,,,,,,,,,,,,,,,,4056,CEDEN,SM 4500-N C,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145629750,2012-07-25,12:00:00,PST,CEDEN-KR19019_KHSA,STORET-725678752,,,as P,Phosphorus,Total,0.087,mg/l,,Final,,Actual,,,,,,,,,,1,,0.5,m,,,,,,,,,,,,,,,,,,,,,,,,,181,CEDEN,EPA 365.4,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145636871,2012-07-25,12:20:00,PST,CEDEN-KR19019_KHSA,STORET-725939617,,,,Organic carbon,Dissolved,5.38,mg/l,,Final,,Actual,,,,,,,,,,1,,44,m,,,,,,,,,,,,,,,,,,,,,,,,,126,CEDEN,SM 5310 C,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145636871,2012-07-25,12:20:00,PST,CEDEN-KR19019_KHSA,STORET-725939620,,,,Nitrogen,Total,1.2,mg/l,,Final,,Actual,,,,,,,,,,1,,44,m,,,,,,,,,,,,,,,,,,,,,,,,,4056,CEDEN,SM 4500-N C,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2145636871,2012-07-25,12:20:00,PST,CEDEN-KR19019_KHSA,STORET-725939622,,,as P,Phosphorus,Total,0.23,mg/l,,Final,,Actual,,,,,,,,,,1,,44,m,,,,,,,,,,,,,,,,,,,,,,,,,181,CEDEN,EPA 365.4,,,,CH2MHILL,1950-01-01,01-JAN-01,PST,,,,,,,,,,,,STORET
